Accession number,"Annotations (NCBI, UniProt)",Source organism,Proposed annotation
WP_011061881.1,tryptophan 7-halogenase,Pseudomonas fluorescens CHA0,7-Trp-FDH (A1)
WP_011846317.1,tryptophan 7-halogenase,Shewanella baltica OS117,Indole-FDH (C)
WP_012088699.1,tryptophan 7-halogenase,Shewanella baltica OS185,Indole-FDH (C)
WP_012395255.1,tryptophan 7-halogenase,Mycobacterium marinum M,6-Trp-FDH (A2)
WP_006085195.1,tryptophan 7-halogenase,Shewanella baltica OS195,Indole-FDH (C)
WP_012588159.1,tryptophan 7-halogenase,Shewanella baltica OS223,Indole-FDH (C)
WP_015817251.1,tryptophan 7-halogenase,Teredinibacter turnerae T7901,Indole-FDH (C)
WP_015818892.1,tryptophan 7-halogenase,Teredinibacter turnerae T7901,Indole-FDH (C)
WP_009948842.1,tryptophan 7-halogenase,Saccharopolyspora erythraea NRRL 2338,6-Trp-FDH (A2)
WP_006080935.1,tryptophan 7-halogenase,Shewanella baltica BA175,Indole-FDH (C)
WP_013814513.1,tryptophan 7-halogenase,Serratia AS12,7-Trp-FDH (A1)
WP_015137080.1,tryptophan 7-halogenase,Nostoc PCC 7524,Indole-FDH (C)
WP_015100660.1,tryptophan 7-halogenase,Saccharothrix espanaensis DSM 44229,7-Trp-FDH (A1)
WP_015672691.1,tryptophan 7-halogenase,Serratia marcescens FGI94,7-Trp-FDH (A1)
WP_015348860.1,tryptophan 7-halogenase,Myxococcus stipitatus DSM 14675,7-Trp-FDH (A1)
WP_015348866.1,tryptophan 7-halogenase,Myxococcus stipitatus DSM 14675,7-Trp-FDH (A1)
WP_006327996.1,tryptophan 7-halogenase,Serratia plymuthica S13,7-Trp-FDH (A1)
WP_020941990.1,tryptophan 7-halogenase,Streptomyces collinus Tu 365,6-Trp-FDH (A2)
WP_015037410.1 (Hal4),tryptophan 7-halogenase,Streptomyces venezuelae ATCC 10712,6-Trp-FDH (B2)
WP_085960657.1,hypothetical protein,Cylindrospermum stagnale PCC 7417,Indole-FDH (C)
