Accession number,"Annotations (NCBI, UniProt)",Source organism,Proposed annotation
WP_083633035.1,tryptophan 7-halogenase,Bradyrhizobium sp. NAS96.2,5-Trp-FDH (B1)
WP_074989376.1,tryptophan 7-halogenase,Pseudoalteromonas lipolytica,Indole-FDH (C)
WP_074988292.1,tryptophan 7-halogenase,Pseudoalteromonas lipolytica,Indole-FDH (C)
WP_074735922.1,tryptophan 7-halogenase,Ruegeria halocynthiae,Indole-FDH (C)
WP_074257951.1,tryptophan 7-halogenase,Oceanicola litoreus,Indole-FDH (C)
WP_074056345.1,tryptophan 7-halogenase,Xanthomonas gardneri,Indole-FDH (C)
WP_073977114.1,tryptophan 7-halogenase,Porphyrobacter donghaensis,Indole-FDH (C)
WP_073319617.1,tryptophan 7-halogenase,Aestuariibacter aggregatus,Indole-FDH (C)
WP_073317158.1,tryptophan 7-halogenase,Aestuariibacter aggregatus,Indole-FDH (C)
WP_073316785.1,tryptophan 7-halogenase,Aestuariibacter aggregatus,Indole-FDH (C)
WP_073274324.1,tryptophan 7-halogenase,Microbulbifer donghaiensis,Indole-FDH (C)
WP_072558974.1,tryptophan 7-halogenase,Sphingopyxis sp. LPB0140,Indole-FDH (C)
WP_072505391.1,tryptophan 7-halogenase,Phaeobacter sp. P97,Indole-FDH (C)
WP_072384754.1,tryptophan 7-halogenase,Novosphingobium sp. NDB2Meth1,Indole-FDH (C)
WP_071959214.1,tryptophan 7-halogenase,Alteromonas mediterranea,Indole-FDH (C)
WP_071951514.1,tryptophan 7-halogenase,Alteromonas mediterranea,Indole-FDH (C)
WP_071939229.1,tryptophan 7-halogenase,Shewanella sp. SACH,Indole-FDH (C)
WP_071817490.1,tryptophan 7-halogenase,Alteromonas sp. V450,Indole-FDH (C)
WP_071688710.1,tryptophan 7-halogenase,Nioella sediminis,Indole-FDH (C)
WP_071118428.1,tryptophan 7-halogenase,Xanthomonas alfalfae,Indole-FDH (C)
WP_070992342.1,tryptophan 7-halogenase,Pseudoalteromonas byunsanensis,Indole-FDH (C)
WP_070959939.1,tryptophan 7-halogenase,Hyphomonas sp. Mor2,Indole-FDH (C)
WP_070959938.1,tryptophan 7-halogenase,Hyphomonas sp. Mor2,Indole-FDH (C)
WP_070693667.1,tryptophan 7-halogenase,Xanthomonas campestris,Indole-FDH (C)
WP_070176958.1,tryptophan 7-halogenase,Alteromonas lipolytica,Indole-FDH (C)
WP_070176908.1,tryptophan 7-halogenase,Alteromonas lipolytica,Indole-FDH (C)
WP_070123441.1,tryptophan 7-halogenase,Alteromonas confluentis,Indole-FDH (C)
WP_069945794.1,tryptophan 7-halogenase,Microbulbifer sp. CCB-MM1,Indole-FDH (C)
WP_069944321.1,tryptophan 7-halogenase,Alteromonas macleodii,Indole-FDH (C)
WP_011470475.1,tryptophan 7-halogenase,Saccharophagus degradans,Indole-FDH (C)
WP_008842873.1,tryptophan 7-halogenase,Aliiglaciecola lipolytica,Indole-FDH (C)
WP_008304714.1,tryptophan 7-halogenase,Paraglaciecola agarilytica,Indole-FDH (C)
WP_007987124.1,tryptophan 7-halogenase,Paraglaciecola chathamensis,Indole-FDH (C)
